wiI7pd,dealership,Unnamed: 1,Unnamed: 2,predicted_sentiment,confidence
"Thank you for Apprication!
Your feedback will help us improving our service.Please mention your 
cell number . Thank you and looking forwa.

if you have  good experience in recent visit so please give us 5 stars :)
you can contact us on this number 
0309-2222854
0309-2222855
0423-5324197",Suzuki Raiwing Motors (Raiwind Rd),,,Positive,0.558485538257406
Dear Sir Management is very focused towards customer service and quality service. So management has taken up the issue and will definitely identify the cause and will take counter measure for future as well. Please share your contact number or call customers relation officer (CRO) for resolution of your issue.,Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5086801617319989
"Sir, Thank you for the feedback. This is only way we can improve our Services. Please mention your cell number so that we can resolve the issue. Thank you and looking forward.",Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5791296396742487
"Thank you!
Your feedback will help us improving our service",Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5113101318982131
"Sir, Thank you for the feedback. This is only way we can improve our Services. Please mention your cell number so that we can resolve the issue. Thank you and looking forward.",Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5791296396742487
"Dear Sir,
Sorry for this experience.Kindly write your complaint briefly on customercare@suzukiraiwind.com. 
 Don't forget to mention your contact number.
Regards, 
On other hand you can contact us on this number 0309-2222854
0309-2222855
0423-5324197

Suzuki Raiwind Motors",Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5791296396742487
"Thank you!
Your feedback will help us improving our service",Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5113101318982131
Thank you sir.,Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5109592678022723
"Appricate:
Thank you for Apprication!
Your feedback will help us improving our service.Please mention your cell number . Thank you and looking forward
you can contact us on this number 
0309-2222854
0309-2222855
0423-5324197",Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5113101318982131
Thank You Sir.,Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5109592678022723
"Thank you!
Your feedback will help us improving our service",Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5113101318982131
Thank You Sir.,Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5109592678022723
"Thank you!
Your feedback will help us improving our service",Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5113101318982131
"Thank you!
Your feedback will help us improving our service",Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5113101318982131
"Sir, Thank you for the feedback. This is only way we can improve our Services. Please mention your cell number so that we can resolve the issue. Thank you and looking forward.On other hand you can contact us on this number 0309-2222854",Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5791296396742487
"Thank you!
Your feedback will help us improving our service",Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5113101318982131
"Sir, Thank   you for the feedback. This is only way we can improve our Services.. Thank you.",Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5109592678022723
Thanks for your feedback,Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5109592678022723
"Thank you!
Your feedback will help us improving our service",Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5113101318982131
"Thank you!
Your feedback will help us improving our service",Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5113101318982131
"Sir, Thank you for the feedback. Please Mention your cell number so that we can contact you and resolve the issue. We assure you will get best services. Thank you.",Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5088887958765483
"Thank you!
Your feedback will help us improving our service",Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5113101318982131
"Appricate:
Thank you for Apprication!
Your feedback will help us improving our service.Please mention your cell number . Thank you and looking forward
you can contact us on this number 
0309-2222854
0309-2222855
0423-5324197",Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5113101318982131
"Thank you!
Your feedback will help us improving our service",Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5113101318982131
Thank You Sir.,Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5109592678022723
"Thank you!
Your feedback will help us improving our service",Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5113101318982131
"Sir, Thank you for the feedback. This is only way we can improve our Services. Please mention your cell number so that we can resolve the issue. Thank you and looking forward.",Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5791296396742487
"Thank you!
Your feedback will help us improving our service",Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5113101318982131
"Sir, Thank you for the feedback. Please give your suggestions so that we can improve our services. Thank you and looking forward.",Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5109592678022723
"Sir, Thank you for the feedback. This is only way we can improve our Services. Please mention your cell number so that we can resolve the issue. Thank you and looking forward.",Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5791296396742487
Thank You Sir.,Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5109592678022723
"Thank you!
Your feedback will help us improving our service",Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5113101318982131
"Thank you!
Your feedback will help us improving our service",Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5113101318982131
"Sir, Thank you for the feedback. This is only way we can improve our Services. Please mention your cell number so that we can resolve the issue. Thank you and looking forward.",Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5791296396742487
"Dear Sir,
Sorry for this experience.Kindly write your complaint briefly on srmcro7smotors@gmail.com. 
 Don't forget to mention your contact number.
Regards, 
On other hand you can contact us on this number 0309-2222854
0309-2222855
0423-5324197

Suzuki Raiwind Motors",Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5791296396742487
"Sir, Thank you for the feedback. Please give your suggestions so that we can improve our services. Thank you and looking forward.",Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5109592678022723
"Thank you for Apprication!
Your feedback will help us improving our service.Please mention your cell number . Thank you and looking forward
you can contact us on this number 
0309-2222854
0309-2222855
0423-5324197",Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5113101318982131
"Thank you for Apprication!
Your feedback will help us improving our service.Please mention your cell number . Thank you and looking forward
you can contact us on this number 
0309-2222854
0309-2222855
0423-5324197",Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5113101318982131
"Thank you!
Your feedback will help us improving our service",Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5113101318982131
"Thank you!
Your feedback will help us improving our service",Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5113101318982131
Thank You Sir.,Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5109592678022723
"Sir, Thank you for the feedback. This is only way we can improve our Services. Please mention your cell number so that we can resolve the issue. Thank you and looking forward.",Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5791296396742487
"Dear Sir,
Sorry for this experience.Kindly write your complaint briefly on srmcro7smotors@gmail.com. 
 Don't forget to mention your contact number.
Regards, 
On other hand you can contact us on this number 0309-2222854
0309-2222855
0423-5324197

Suzuki Raiwind Motors",Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5791296396742487
Thank You Sir.,Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5109592678022723
Thank You Sir.,Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5109592678022723
"Sir, Thank you for the feedback. This is only way we can improve our Services. Please mention your cell number so that we can resolve the issue. Thank you and looking forward.",Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5791296396742487
"Thank you!
Your feedback will help us improving our service",Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5113101318982131
"Sir, Thank you for the feedback. This is only way we can improve our Services. Please mention your cell number so that we can resolve the issue. Thank you and looking forward.",Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5791296396742487
thanks for your feedback,Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5109592678022723
Thank You Sir.,Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5109592678022723
"Thank you!
Your feedback will help us improving our service",Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5113101318982131
"Sir, Thank you for the feedback. This is only way we can improve our Services. Please mention your cell number so that we can resolve the issue. Thank you and looking forward.",Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5791296396742487
"Thank you!
Your feedback will help us improving our service",Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5113101318982131
Thank You Sir.,Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5109592678022723
Thank You Sir.,Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5109592678022723
"Thank you!
Your feedback will help us improving our service.",Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5113101318982131
"Sir, Thank you for the feedback. This is only way we can improve our Services. Please mention your cell number so that we can resolve the issue. Thank you and looking forward.",Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5791296396742487
"Thank you!
Your feedback will help us improving our service",Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5113101318982131
thanks for you feedback,Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5109592678022723
"Thank you!
Your feedback will help us improving our service",Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5113101318982131
"Thank you for Apprication!
Your feedback will help us improving our service.Please mention your cell number . Thank you and looking forward
you can contact us on this number 
0309-2222854
0309-2222855
0423-5324197",Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5113101318982131
"Thank you!
Your feedback will help us improving our service.",Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5113101318982131
"Thank you!
Your feedback will help us improving our service",Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5113101318982131
Thank you Sir.,Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5109592678022723
Thank You.,Suzuki Raiwing Motors (Raiwind Rd),,,,
Thanks Sir,Suzuki Raiwing Motors (Raiwind Rd),,,,
"Appricate:
Thank you for Apprication!
Your feedback will help us improving our service.Please mention your cell number . Thank you and looking forward
you can contact us on this number 
0309-2222854
0309-2222855
0423-5324197",Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5113101318982131
"Sir, Thank you for the feedback. This is only way we can improve our Services. Please mention your cell number so that we can resolve the issue. Thank you and looking forward.",Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5791296396742487
"Sir, Thank you for the feedback. This is only way we can improve our Services. Please mention your cell number so that we can resolve the issue. Thank you and looking forward.",Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5791296396742487
"Thank you!
Your feedback will help us improving our service",Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5113101318982131
"Thank you!
Your feedback will help us improving our service",Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5113101318982131
Thank You Sir.,Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5109592678022723
Thank You Sir.,Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5109592678022723
"Sir, Thank you for the feedback. This is only way we can improve our Services. Please mention your cell number so that we can resolve the issue. Thank you and looking forward.",Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5791296396742487
"Thank you!
Your feedback will help us improving our service",Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5113101318982131
"Thank you!
Your feedback will help us improving our service",Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5113101318982131
Thank You Sir.,Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5109592678022723
"Sir, Thank you for the feedback. This is only way we can improve our Services. Please mention your cell number so that we can resolve the issue. Thank you and looking forward.",Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5791296396742487
"Thank you for Apprication!
Your feedback will help us improving our service.Please mention your cell number . Thank you and looking forward
you can contact us on this number 
0309-2222854
0309-2222855
0423-5324197",Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5113101318982131
Thank You.,Suzuki Raiwing Motors (Raiwind Rd),,,,
"Thank you!
Your feedback will help us improving our service",Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5113101318982131
Thank You Sir.,Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5109592678022723
Thank You Sir.,Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5109592678022723
Thank You Sir.,Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5109592678022723
Thank You Sir.,Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5109592678022723
"Thank you!
Your feedback will help us improving our service",Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5113101318982131
Thank You.,Suzuki Raiwing Motors (Raiwind Rd),,,,
"Thank you!
Your feedback will help us improving our service",Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5113101318982131
"Thank you!
Your feedback will help us improving our service",Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5113101318982131
"Thank you!
Your feedback will help us improving our service",Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5113101318982131
Thank You Sir.,Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5109592678022723
thanks for your feedback,Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5109592678022723
"Sir, Thank you for the feedback. Please Mention your cell number so that we can contact you and resolve the issue. We assure you will get best services. Thank you.",Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5088887958765483
Thank You Sir.,Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5109592678022723
"Thank you!
Your feedback will help us improving our service",Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5113101318982131
"Thank you!
Your feedback will help us improving our service",Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5113101318982131
"Sir, Thank you for the feedback. This is only way we can improve our Services. Please mention your cell number so that we can resolve the issue. Thank you and looking forward.On other hand you can contact us on this number 0309-2222854",Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5791296396742487
"Thank you!
Your feedback will help us improving our service",Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5113101318982131
Thank You Sir.,Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5109592678022723
Thanks for your feedback,Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5109592678022723
Thanks for your feedback,Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5109592678022723
"Thank you!
Your feedback will help us improving our service",Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5113101318982131
"Thank you!
Your feedback will help us improving our service",Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5113101318982131
"Thank you!
Your feedback will help us improving our service",Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5113101318982131
"Sir, Thank you for the feedback. This is only way we can improve our Services. Please mention your cell number so that we can resolve the issue. Thank you and looking forward.",Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5791296396742487
Thank You Sir.,Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5109592678022723
"Thank you!
Your feedback will help us improving our service",Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5113101318982131
Thank You Sir.,Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5109592678022723
Thank you Sir.,Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5109592678022723
"Sir, Thank you for the feedback. This is only way we can improve our Services. Please mention your cell number so that we can resolve the issue. Thank you and looking forward.",Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5791296396742487
Thank You Sir.,Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5109592678022723
Thank You.,Suzuki Raiwing Motors (Raiwind Rd),,,,
"Thank you!
Your feedback will help us improving our service",Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5113101318982131
"Sir, Thank you for the feedback. This is only way we can improve our Services. Please mention your cell number so that we can resolve the issue. Thank you and looking forward.",Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5791296396742487
"Sir, Thank you for the feedback. Please Mention your cell number so that we can contact you and resolve the issue. We assure you will get best services. Thank you.",Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5088887958765483
"Thank you for Apprication!
Your feedback will help us improving our service.Please mention your cell number . Thank you and looking forward
you can contact us on this number 
0309-2222854
0309-2222855
0423-5324197",Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5113101318982131
Thank You Sir.,Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5109592678022723
Thanks for coming..,Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5109592678022723
"Thank you for Apprication!
Your feedback will help us improving our service.Please mention your cell number . Thank you and looking forward
you can contact us on this number 
0309-2222854
0309-2222855
0423-5324197",Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5113101318982131
"Thank you!
Your feedback will help us improving our service.",Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5113101318982131
Thank You Sir.,Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5109592678022723
"Thank you for Apprication!
Your feedback will help us improving our service.Please mention your cell number . Thank you and looking forward
you can contact us on this number 
0309-2222854
0309-2222855
0423-5324197",Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5113101318982131
"Sir, Thank you for the feedback. Please give your suggestions so that we can improve our services. Thank you and looking forward.",Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5109592678022723
"Sir, Thank you for the feedback. This is only way we can improve our Services. Please mention your cell number so that we can resolve the issue. Thank you and looking forward.",Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5791296396742487
Thanks for your feedback,Suzuki Raiwing Motors (Raiwind Rd),,,Negative,0.5109592678022723
